year,film,director,is_winner,is_tie
2009,An Education,Lone Scherfig,false,false
2009,Inglourious Basterds,Quentin Tarantino,false,false
2009,Invictus,Clint Eastwood,false,false
2009,Nine,Rob Marshall,false,false
2009,Precious,Lee Daniels,false,false
2009,A Serious Man,Joel Coen and Ethan Coen,false,false
2009,Up,Pete Docter,false,false
2009,Up in the Air,Jason Reitman,false,false
2010,The Social Network,David Fincher,true,false
2010,127 Hours,Danny Boyle,false,false
2010,Black Swan,Darren Aronofsky,false,false
2010,The Fighter,David O. Russell,false,false
2010,Inception,Christopher Nolan,false,false
2010,The King's Speech,Tom Hooper,false,false
2010,The Town,Ben Affleck,false,false
2010,Toy Story 3,Lee Unkrich,false,false
2010,True Grit,Joel Coen and Ethan Coen,false,false
2010,Winter's Bone,Debra Granik,false,false
2011,The Artist,Michel Hazanavicius,true,false
2011,The Descendants,Alexander Payne,false,false
2011,Drive,Nicolas Winding Refn,false,false
2011,Extremely Loud & Incredibly Close,Stephen Daldry,false,false
2011,The Help,Tate Taylor,false,false
2011,Hugo,Martin Scorsese,false,false
2011,Midnight in Paris,Woody Allen,false,false
2011,Moneyball,Bennett Miller,false,false
2011,The Tree of Life,Terrence Malick,false,false
2011,War Horse,Steven Spielberg,false,false
2012,Argo,Ben Affleck,true,false
2012,Beasts of the Southern Wild,Benh Zeitlin,false,false
2012,Django Unchained,Quentin Tarantino,false,false
2012,Les Misérables,Tom Hooper,false,false
2012,Life of Pi,Ang Lee,false,false
2012,Lincoln,Steven Spielberg,false,false
2012,The Master,Paul Thomas Anderson,false,false
2012,Moonrise Kingdom,Wes Anderson,false,false
2012,Silver Linings Playbook,David O. Russell,false,false
2012,Zero Dark Thirty,Kathryn Bigelow,false,false
2013,12 Years a Slave,Steve McQueen,true,false
2013,American Hustle,David O. Russell,false,false
2013,Captain Phillips,Paul Greengrass,false,false
2013,Dallas Buyers Club,Jean-Marc Vallée,false,false
2013,Gravity,Alfonso Cuarón,false,false
2013,Her,Spike Jonze,false,false
2013,Inside Llewyn Davis,Joel Coen and Ethan Coen,false,false
2013,Nebraska,Alexander Payne,false,false
2013,Saving Mr. Banks,John Lee Hancock,false,false
2013,The Wolf of Wall Street,Martin Scorsese,false,false
2014,Boyhood,Richard Linklater,true,false
2014,Birdman,Alejandro G. Iñárritu,false,false
2014,Gone Girl,David Fincher,false,false
2014,The Grand Budapest Hotel,Wes Anderson,false,false
2014,The Imitation Game,Morten Tyldum,false,false
2014,Nightcrawler,Dan Gilroy,false,false
2014,Selma,Ava DuVernay,false,false
2014,The Theory of Everything,James Marsh,false,false
2014,Unbroken,Angelina Jolie,false,false
2014,Whiplash,Damien Chazelle,false,false
2015,Spotlight,Tom McCarthy,true,false
2015,The Big Short,Adam McKay,false,false
2015,Bridge of Spies,Steve Spielberg,false,false
2015,Brooklyn,John Crowley,false,false
2015,Carol,Todd Haynes,false,false
2015,Mad Max: Fury Road,George Miller,false,false
2015,The Martian,Ridley Scott,false,false
