year,actor,film,is_winner,is_tie
2020,"Leslie Odom, Jr.",One Night in Miami...,false,false
2021,Troy Kotsur,CODA,true,false
2021,Ben Affleck,The Tender Bar,false,false
2021,Bradley Cooper,Licorice Pizza,false,false
2021,Jared Leto,House of Gucci,false,false
2021,Kodi Smit-McPhee,The Power of the Dog,false,false
2022,Ke Huy Quan,Everything Everywhere All at Once,true,false
2022,Paul Dano,The Fabelmans,false,false
2022,Brendan Gleeson,The Banshees of Inisherin,false,false
2022,Barry Keoghan,Dominic Kearney,false,false
2022,Eddie Redmayne,The Good Nurse,false,false
2023,Robert Downey Jr.,Oppenheimer,true,false
2023,Sterling K. Brown,American Fiction,false,false
2023,Willem Dafoe,Poor Things,false,false
2023,Robert De Niro,Killers of the Flower Moon,false,false
2023,Ryan Gosling,Barbie,false,false
2024,Kieran Culkin,A Real Pain,true,false
2024,Jonathan Bailey,Wicked,false,false
2024,Yura Borisov,Anora,false,false
2024,Edward Norton,A Complete Unknown,false,false
2024,Jeremy Strong,The Apprentice,false,false
2025,Sean Penn,One Battle after Another,true,false
2025,Miles Caton,Sinners,false,false
2025,Benicio Del Toro,One Battle after Another,false,false
2025,Jacob Elordi,Frankenstein,false,false
2025,Paul Mescal,Hamnet,false,false
