year,actress,film,is_winner,is_tie
2024,Danielle Deadwyler,The Piano Lesson,false,false
2024,Aunjanue Ellis-Taylor,Nickel Boys,false,false
2024,Ariana Grande,Wicked,false,false
2024,Margaret Qualley,The Substance,false,false
2024,Isabella Rossellini,Conclave,false,false
2025,Amy Madigan,Weapons,true,false
2025,Elle Fanning,Sentimental Value,false,false
2025,Ariana Grande,Wicked: For Good,false,false
2025,Inga Ibsdotter Lilleaas,Sentimental Value,false,false
2025,Wunmi Mosaku,Sinners,false,false
2025,Teyana Taylor,One Battle after Another,false,false
