year,actress,film,is_winner,is_tie
2021,Ruth Negga,Passing,false,false
2022,Jamie Lee Curtis,Everything Everywhere All at Once,true,false
2022,Angela Bassett,Black Panther: Wakanda Forever,false,false
2022,Hong Chau,The Whale,false,false
2022,Kerry Condon,The Banshees of Inisherin,false,false
2022,Stephanie Hsu,Everything Everywhere All at Once,false,false
2023,Da'Vine Joy Randolph,The Holdovers,true,false
2023,Emily Blunt,Oppenheimer,false,false
2023,Danielle Brooks,The Color Purple,false,false
2023,Penélope Cruz,Ferrari,false,false
2023,Jodie Foster,Nyad,false,false
2024,Zoe Saldaña,Emilia Pérez,true,false
2024,Monica Barbaro,A Complete Unknown,false,false
2024,Jamie Lee Curtis,The Last Showgirl,false,false
2024,Danielle Deadwyler,The Piano Lesson,false,false
2024,Ariana Grande,Wicked,false,false
2025,Amy Madigan,Weapons,true,false
2025,Odessa A'zion,Marty Supreme,false,false
2025,Ariana Grande,Wicked: For Good,false,false
2025,Wunmi Mosaku,Sinners,false,false
2025,Teyana Taylor,One Battle after Another,false,false
