year,actor,film,is_winner,is_tie
2023,Mark Ruffalo,Poor Things,false,false
2024,Kieran Culkin,A Real Pain,true,false
2024,Yura Borisov,Anora,false,false
2024,Clarence Maclin,Sing Sing,false,false
2024,Edward Norton,A Complete Unknown,false,false
2024,Guy Pearce,The Brutalist,false,false
2024,Denzel Washington,Gladiator II,false,false
2025,Jacob Elordi,Frankenstein,true,false
2025,Benicio Del Toro,One Battle after Another,false,false
2025,Paul Mescal,Hamnet,false,false
2025,Sean Penn,One Battle after Another,false,false
2025,Adam Sandler,Jay Kelly,false,false
2025,Stellan Skarsgård,Sentimental Value,false,false
