year,actress,film,is_winner,is_tie,num_films
1999,Mena Suvari,American Beauty,false,false,1
2000,Julie Walters,Billy Elliot,true,false,1
2000,Judi Dench,Chocolat,false,false,1
2000,Frances McDormand,Almost Famous,false,false,1
2000,Lena Olin,Chocolat,false,false,1
2000,Ziyi Zhang,"Crouching Tiger, Hidden Dragon",false,false,1
2001,Jennifer Connelly,A Beautiful Mind,true,false,1
2001,Judi Dench,The Shipping News,false,false,1
2001,Helen Mirren,Gosford Park / Maggie Smith,false,false,2
2001,Kate Winslet,Iris,false,false,1
2002,Catherine Zeta-Jones,Chicago,true,false,1
2002,Toni Collette,About a Boy,false,false,1
2002,Julianne Moore,The Hours,false,false,1
2002,Queen Latifah,Chicago,false,false,1
2002,Meryl Streep,Adaptation,false,false,1
2003,Renée Zellweger,Cold Mountain,true,false,1
2003,Holly Hunter,Thirteen,false,false,1
2003,Laura Linney,Mystic River,false,false,1
2003,Judy Parfitt,Girl with a Pearl Earring,false,false,1
2003,Emma Thompson,Love Actually,false,false,1
2004,Cate Blanchett,The Aviator,true,false,1
2004,Julie Christie,Finding Neverland,false,false,1
2004,Heather Craney,Vera Drake,false,false,1
2004,Natalie Portman,Closer,false,false,1
2004,Meryl Streep,The Manchurian Candidate,false,false,1
2005,Thandiwe Newton,Crash,true,false,1
2005,Brenda Blethyn,Pride & Prejudice,false,false,1
2005,Catherine Keener,Capote,false,false,1
2005,Frances McDormand,North Country,false,false,1
2005,Michelle Williams,Brokeback Mountain,false,false,1
2006,Jennifer Hudson,Dreamgirls,true,false,1
2006,Emily Blunt,The Devil Wears Prada,false,false,1
2006,Abigail Breslin,Little Miss Sunshine / Toni Collette,false,false,2
2006,Frances de la Tour,The History Boys,false,false,1
2007,Tilda Swinton,Michael Clayton,true,false,1
2007,Cate Blanchett,I'm Not There,false,false,1
2007,Kelly Macdonald,No Country for Old Men,false,false,1
2007,Samantha Morton,Control,false,false,1
2007,Saoirse Ronan,Atonement,false,false,1
2008,Penélope Cruz,Vicky Cristina Barcelona,true,false,1
2008,Amy Adams,Doubt,false,false,1
2008,Freida Pinto,Slumdog Millionaire,false,false,1
2008,Tilda Swinton,Burn After Reading,false,false,1
2008,Marisa Tomei,The Wrestler,false,false,1
2009,Mo'Nique,Precious,true,false,1
2009,Anne-Marie Duff,Nowhere Boy,false,false,1
2009,Vera Farmiga,Up in the Air / Anna Kendrick,false,false,2
2009,Kristin Scott Thomas,Nowhere Boy,false,false,1
2010,Helena Bonham Carter,The King's Speech,true,false,1
2010,Amy Adams,The Fighter,false,false,1
2010,Barbara Hershey,Black Swan,false,false,1
2010,Lesley Manville,Another Year,false,false,1
2010,Miranda Richardson,Made in Dagenham,false,false,1
2011,Octavia Spencer,The Help,true,false,1
2011,Jessica Chastain,The Help,false,false,1
2011,Judi Dench,My Week with Marilyn,false,false,1
2011,Melissa McCarthy,Bridesmaids,false,false,1
2011,Carey Mulligan,Drive,false,false,1
2012,Anne Hathaway,Les Misérables,true,false,1
2012,Amy Adams,The Master,false,false,1
2012,Judi Dench,Skyfall,false,false,1
2012,Sally Field,Lincoln,false,false,1
